Frame,Time,X,Y,Z
171,0.56666,263.488,271.32,189.54
172,0.57,263.206,271.939,190.622
173,0.57333,262.751,272.767,191.853
174,0.57666,262.53,273.398,193.102
175,0.58,262.252,274.166,194.371
176,0.58333,261.921,274.97,195.588
177,0.58666,261.711,275.609,196.666
178,0.59,261.384,276.497,198.097
179,0.59333,261.029,277.143,199.181
180,0.59666,260.693,277.868,200.405
181,0.6,260.389,278.652,201.739
182,0.60333,260.175,279.366,202.92
183,0.60666,259.835,280.116,204.101
184,0.61,259.532,280.906,205.403
185,0.61333,259.24,281.602,206.656
186,0.61666,258.912,282.441,207.896
187,0.62,258.567,283.201,209.068
188,0.62333,258.37,283.89,210.399
189,0.62666,258.074,284.686,211.604
190,0.63,257.768,285.353,212.746
191,0.63333,257.458,286.267,214.136
192,0.63666,257.148,286.953,215.288
193,0.64,256.825,287.677,216.562
194,0.64333,256.565,288.471,217.786
195,0.64666,256.356,289.267,219.139
196,0.65,256.053,290.045,220.252
197,0.65333,255.724,290.852,221.482
198,0.65666,255.473,291.658,222.903
199,0.66,255.198,292.41,224.019
200,0.66333,254.762,293.182,225.251
201,0.66666,254.674,293.912,226.622
202,0.67,254.297,294.751,227.811
203,0.67333,254.003,295.47,228.967
204,0.67666,253.72,296.37,230.353
205,0.68,253.367,297.041,231.642
206,0.68333,253.144,297.822,232.88
207,0.68666,252.776,298.727,234.197
208,0.69,252.602,299.475,235.474
209,0.69333,252.256,300.227,236.648
210,0.69666,251.882,301.149,237.933
211,0.7,251.678,301.828,239.299
212,0.70333,251.36,302.656,240.546
213,0.70666,251.016,303.382,241.775
214,0.71,250.896,304.245,243.253
215,0.71333,250.523,305.014,244.366
216,0.71666,250.261,305.979,245.629
217,0.72,249.984,306.665,246.929
218,0.72333,249.658,307.442,248.262
219,0.72666,249.366,308.239,249.551
220,0.73,249.182,309.111,250.908
221,0.73333,248.897,309.852,252.152
222,0.73666,248.57,310.821,253.359
223,0.74,248.278,311.539,254.775
224,0.74333,248.005,312.251,256.04
225,0.74666,247.688,313.135,257.357
226,0.75,247.457,313.957,258.653
227,0.75333,247.226,314.73,259.996
228,0.75666,246.85,315.65,261.264
229,0.76,246.681,316.189,262.612
230,0.76333,246.324,317.139,263.943
231,0.76666,246.108,317.924,265.217
232,0.77,245.893,318.712,266.659
233,0.77333,245.574,319.561,267.938
234,0.77666,245.368,320.344,269.19
235,0.78,245.009,321.232,270.556
236,0.78333,244.748,322.047,271.722
237,0.78666,244.418,322.924,273.165
238,0.79,244.312,323.685,274.573
239,0.79333,244.041,324.467,275.808
240,0.79666,243.711,325.402,277.163
241,0.8,243.535,326.12,278.444
242,0.80333,243.165,327.051,279.832
243,0.80666,242.966,327.92,281.099
244,0.81,242.749,328.643,282.46
245,0.81333,242.415,329.603,283.801
246,0.81666,242.172,330.305,285.082
247,0.82,241.853,331.272,286.519
248,0.82333,241.544,331.985,287.726
249,0.82666,241.325,332.954,289.113
250,0.83,241.007,333.816,290.442
251,0.83333,240.793,334.562,291.741
252,0.83666,240.505,335.388,293.202
253,0.84,240.249,336.293,294.471
254,0.84333,239.99,337.179,295.802
255,0.84666,239.682,338.046,297.221
256,0.85,239.453,338.857,298.524
257,0.85333,239.222,339.75,299.948
258,0.85666,239.042,340.611,301.222
259,0.86,238.714,341.431,302.63
260,0.86333,238.504,342.24,304.034
261,0.86666,238.209,343.136,305.33
262,0.87,237.885,344.047,306.681
263,0.87333,237.753,344.757,308.021
264,0.87666,237.391,345.663,309.418
265,0.88,237.175,346.511,310.783
266,0.88333,236.956,347.439,312.162
267,0.88666,236.639,348.221,313.461
268,0.89,236.382,349.062,314.727
269,0.89333,236.139,350.023,316.307
270,0.89666,235.939,350.797,317.62
271,0.9,235.692,351.752,318.891
272,0.90333,235.503,352.599,320.407
273,0.90666,235.157,353.403,321.698
274,0.91,234.905,354.28,323.036
275,0.91333,234.736,355.254,324.569
276,0.91666,234.444,356.092,325.751
277,0.92,234.311,356.939,327.226
278,0.92333,233.965,357.915,328.68
279,0.92666,233.788,358.695,329.976
280,0.93,233.512,359.684,331.453
281,0.93333,233.251,360.526,332.769
282,0.93666,233.048,361.362,334.147
283,0.94,232.776,362.295,335.71
284,0.94333,232.532,363.103,336.958
285,0.94666,232.319,364.021,338.456
286,0.95,232.022,364.943,339.866
287,0.95333,231.729,365.83,341.242
288,0.95666,231.527,366.705,342.68
289,0.96,231.27,367.622,344.101
290,0.96333,231.006,368.554,345.554
291,0.96666,230.766,369.356,347.016
292,0.97,230.49,370.292,348.409
293,0.97333,230.217,371.221,349.822
294,0.97666,229.976,372.214,351.317
295,0.98,229.739,372.943,352.74
296,0.98333,229.52,373.809,354.224
297,0.98666,229.226,374.853,355.695
298,0.99,229.108,375.675,357.096
299,0.99333,228.695,376.587,358.576
300,0.99666,228.551,377.556,360.064
301,1,228.273,378.457,361.563
302,1.00333,228.05,379.325,363.01
303,1.00666,227.822,380.223,364.447
304,1.01,227.604,381.149,365.985
305,1.01333,227.266,382.2,367.456
306,1.01666,227.084,383.027,368.909
307,1.02,226.808,383.874,370.361
308,1.02333,226.535,384.941,372.051
309,1.02666,226.362,385.726,373.374
310,1.03,226.109,386.726,374.889
311,1.03333,225.865,387.63,376.479
312,1.03666,225.538,388.477,377.906
313,1.04,225.374,389.522,379.486
314,1.04333,225.069,390.459,380.903
315,1.04666,224.9,391.332,382.433
316,1.05,224.673,392.236,384.006
317,1.05333,224.325,393.142,385.428
318,1.05666,224.233,394.176,387.015
319,1.06,223.823,395.043,388.561
320,1.06333,223.65,395.989,390.03
321,1.06666,223.36,396.907,391.619
322,1.07,223.13,397.725,393.047
323,1.07333,222.947,398.729,394.75
324,1.07666,222.669,399.624,396.16
325,1.08,222.407,400.637,397.677
326,1.08333,222.147,401.485,399.284
327,1.08666,221.855,402.404,400.861
328,1.09,221.714,403.311,402.393
329,1.09333,221.48,404.237,403.91
330,1.09666,221.281,405.133,405.461
331,1.1,221.124,406.118,407.112
332,1.10333,220.77,407.069,408.615
333,1.10666,220.609,407.853,410.106
334,1.11,220.309,408.795,411.757
335,1.11333,220.172,409.692,413.319
336,1.11666,219.971,410.646,414.841
337,1.12,219.759,411.466,416.367
338,1.12333,219.484,412.424,418.032
339,1.12666,219.227,413.269,419.501
340,1.13,219.029,414.222,421.023
341,1.13333,218.815,415.123,422.677
342,1.13666,218.663,415.944,424.258
343,1.14,218.47,416.804,425.752
344,1.14333,218.284,417.693,427.316
345,1.14666,217.936,418.629,429.013
346,1.15,217.786,419.373,430.445
347,1.15333,217.567,420.284,432.035
348,1.15666,217.35,421.145,433.68
349,1.16,217.117,422.008,435.189
350,1.16333,216.959,422.769,436.731
351,1.16666,216.689,423.685,438.341
352,1.17,216.518,424.438,439.911
353,1.17333,216.332,425.424,441.56
354,1.17666,216.045,426.261,443.045
355,1.18,215.932,427.023,444.709
356,1.18333,215.587,427.983,446.227
357,1.18666,215.488,428.776,447.85
358,1.19,215.181,429.61,449.395
359,1.19333,215.069,430.459,451.02
360,1.19666,214.955,431.32,452.639
361,1.2,214.756,432.055,454.058
362,1.20333,214.579,432.929,455.864
363,1.20666,214.306,433.812,457.345
364,1.21,214.25,434.563,458.909
365,1.21333,213.958,435.414,460.552
366,1.21666,213.862,436.223,462.138
367,1.22,213.724,437.1,463.705
368,1.22333,213.528,437.904,465.312
369,1.22666,213.357,438.601,466.994
370,1.23,213.139,439.532,468.39
371,1.23333,213.122,440.332,470.109
372,1.23666,212.957,441.207,471.759
373,1.24,212.8,441.969,473.265
374,1.24333,212.637,442.772,474.878
375,1.24666,212.39,443.448,476.525
376,1.25,212.249,444.306,478.156
377,1.25333,212.077,445.033,479.665
378,1.25666,212.002,445.744,481.325
379,1.26,211.775,446.683,482.937
380,1.26333,211.645,447.412,484.496
381,1.26666,211.422,448.119,486.204
382,1.27,211.296,448.879,487.689
383,1.27333,211.147,449.644,489.331
384,1.27666,211.093,450.443,490.994
385,1.28,210.957,451.185,492.583
386,1.28333,210.821,451.964,494.18
387,1.28666,210.745,452.698,495.803
388,1.29,210.464,453.483,497.444
389,1.29333,210.36,454.163,499.047
390,1.29666,210.332,455.015,500.645
391,1.3,210.155,455.751,502.216
392,1.30333,210.129,456.501,503.884
393,1.30666,209.898,457.214,505.497
394,1.31,209.857,457.889,507.087
395,1.31333,209.706,458.629,508.735
396,1.31666,209.63,459.353,510.395
397,1.32,209.534,460.016,511.971
398,1.32333,209.435,460.848,513.588
399,1.32666,209.372,461.474,515.197
400,1.33,209.174,462.221,516.808
401,1.33333,209.076,462.91,518.475
402,1.33666,209.047,463.618,520.036
403,1.34,208.91,464.333,521.723
404,1.34333,208.849,465.055,523.29
405,1.34666,208.684,465.739,524.96
406,1.35,208.614,466.389,526.587
407,1.35333,208.453,467.167,528.187
408,1.35666,208.433,467.779,529.851
409,1.36,208.361,468.465,531.412
410,1.36333,208.223,469.198,533.13
411,1.36666,208.185,469.832,534.686
412,1.37,208.12,470.495,536.34
413,1.37333,207.971,471.198,537.961
414,1.37666,207.921,471.739,539.608
415,1.38,207.862,472.504,541.245
416,1.38333,207.868,473.143,542.892
417,1.38666,207.784,473.815,544.505
418,1.39,207.678,474.526,546.156
419,1.39333,207.646,475.123,547.844
420,1.39666,207.444,475.753,549.446
421,1.4,207.475,476.446,551.108
422,1.40333,207.437,477.104,552.696
423,1.40666,207.349,477.723,554.466
424,1.41,207.273,478.313,555.984
425,1.41333,207.218,478.934,557.669
426,1.41666,207.103,479.575,559.306
427,1.42,207.069,480.212,561.048
428,1.42333,206.939,480.745,562.641
429,1.42666,207.004,481.389,564.276
430,1.43,206.954,482.095,565.892
431,1.43333,206.841,482.692,567.652
432,1.43666,206.801,483.278,569.187
433,1.44,206.774,483.824,570.911
434,1.44333,206.611,484.403,572.526
435,1.44666,206.683,485.06,574.205
436,1.45,206.548,485.685,575.933
437,1.45333,206.618,486.206,577.502
438,1.45666,206.512,486.903,579.15
439,1.46,206.44,487.405,580.985
440,1.46333,206.383,487.895,582.487
441,1.46666,206.273,488.581,584.227
442,1.47,206.201,489.147,585.896
443,1.47333,206.203,489.666,587.575
444,1.47666,206.09,490.168,589.273
445,1.48,206.095,490.855,590.912
446,1.48333,206.014,491.401,592.546
447,1.48666,205.925,491.952,594.279
448,1.49,205.943,492.409,595.961
449,1.49333,205.761,492.958,597.674
450,1.49666,205.779,493.59,599.375
451,1.5,205.768,494.094,600.973
452,1.50333,205.629,494.657,602.751
453,1.50666,205.647,495.249,604.402
454,1.51,205.572,495.702,606.106
455,1.51333,205.465,496.148,607.846
456,1.51666,205.348,496.779,609.472
457,1.52,205.263,497.218,611.245
458,1.52333,205.24,497.748,612.906
459,1.52666,205.222,498.279,614.65
460,1.53,205.124,498.857,616.291
461,1.53333,205.128,499.283,617.966
462,1.53666,205.087,499.802,619.817
463,1.54,204.963,500.366,621.346
464,1.54333,204.955,500.843,623.202
465,1.54666,204.821,501.372,624.831
466,1.55,204.784,501.719,626.578
467,1.55333,204.732,502.304,628.29
468,1.55666,204.62,502.888,629.988
469,1.56,204.65,503.314,631.691
470,1.56333,204.559,503.824,633.377
471,1.56666,204.447,504.302,635.203
472,1.57,204.429,504.757,636.782
