X (m),Y (m),Z (m)
9799.388855421685,1889.9771971496439,50.54065500889151
9801.112153614458,1889.967915220172,50.675032602252514
9801.697424698794,1889.9307875022844,50.81957320687611
9802.998027108433,1889.8565320665086,50.98895672791938
9804.29862951807,1889.5409464644622,51.25432424422051
9805.111506024095,1889.8843778549247,51.44516301126259
9805.20905120482,1890.1071441622514,51.69133372851215
9805.696777108433,1890.3299104695784,51.92959988144635
9807.290015060242,1890.3484743285221,52.14528156490811
9808.460557228915,1891.2581034167736,52.385806164789564
9809.826189759036,1891.6850721724834,52.65907824540605
9811.126792168674,1891.6757902430113,52.89960284528749
9812.654999999999,1891.8985565503385,53.144644339063426
9813.077695783131,1891.8521469029783,53.42017486662714
9813.532906626506,1892.0841951397774,53.68780082987551
9812.32984939759,1891.8057372556189,53.96220213396562
9810.996731927711,1891.9078384798102,54.208372851215174
9810.216370481929,1892.186296363969,54.5934380557202
9809.761159638554,1892.5111638954872,54.85767634854772
9807.875286144577,1893.1980266764117,55.16482513337284
9807.387560240963,1893.94986296364,55.50697984588026
9805.89186746988,1894.2932943541025,55.78138114997036
9805.144021084338,1894.6552896035084,56.114502074688794
9804.168569277108,1895.6391741275354,56.41713396561944
9804.461204819276,1896.4652658505393,56.767193242442204
9803.810903614458,1897.374894938791,57.122898636633074
9804.331144578313,1897.922528777636,57.53506520450504
9804.038509036145,1898.562981911201,57.90432128037937
9802.120120481926,1899.853170107802,58.32213396561945
9799.8765813253,1900.846336561301,58.730912863070536
9797.307891566265,1901.0505390096841,59.12839952578541
9794.576626506025,1901.0319751507402,59.53153230586841
9793.243509036143,1902.6655947378038,59.99112625963248
9793.276024096385,1904.0207564407092,60.42926496739775
9796.885195783132,1904.1228576649005,60.966775340841735
9796.007289156627,1905.3109446373105,61.56978067575579
9792.950873493975,1907.0002558012063,62.10051570835803
9790.317153614458,1908.234752420976,62.58834024896265
9789.894457831324,1909.617759912297,63.08858624777712
9787.68343373494,1910.7037456605156,63.638518079430945
9785.569954819277,1912.3652110359951,64.21668049792532
9784.431927710844,1913.9802667641152,64.88743924125667
9783.228870481928,1915.3725561849083,65.50851215174866
9781.180421686746,1917.0618673488036,66.10812981624184
9777.051009036144,1918.7047688653395,66.75065797273265
9771.88111445783,1920.4590535355385,67.34011262596324
9768.304457831324,1922.5753334551437,67.97134854771784
9768.889728915663,1925.5919605335284,68.65452874925903
9769.084819277108,1927.1606066142886,69.42014226437462
9762.38671686747,1928.0702357025402,70.03105216360403
9756.859156626504,1929.462525123333,70.79214878482514
9752.697228915664,1932.265667823863,71.54082394783639
9748.795421686746,1934.6789694865708,72.33240960284529
9744.698524096386,1936.5539192399053,73.02688203912271
9740.43905120482,1939.4220354467386,73.77442797866033
9735.009036144578,1941.7053900968392,74.60214878482513
9731.36734939759,1944.0258724648277,75.37340841730884
9726.782725903615,1946.1792801023207,76.21693835210434
9721.645346385541,1949.2701626164812,77.05143449911084
9716.312876506023,1951.54423533711,77.878026081802
9712.50861445783,1953.7997441987945,78.62331357439243
9706.298237951807,1957.7352822949024,79.59218731475991
9702.07128012048,1960.9004202448386,80.47862774155305
9695.27563253012,1963.5086424264573,81.26795494961469
9688.122319277109,1965.8569705828615,82.15100770598696
9682.302123493975,1969.3191302759,83.12778601066982
9676.091746987951,1972.0016078932945,84.0119679905157
9668.873403614458,1974.9254156769598,84.99665085951392
9659.5415813253,1977.9234788964006,85.88534973325429
9651.38030120482,1981.877580851453,86.80002074688797
9647.185858433735,1984.987027224557,87.764377593361
9637.91906626506,1988.9225653206656,88.74002667457023
9630.147966867471,1991.4843778549246,89.70890041493776
9622.344352409638,1995.3642243742008,90.7410106698281
9616.62170180723,1999.095560021926,91.65003556609365
9608.23281626506,2003.0032523296186,92.5997125074096
9598.673388554216,2006.261209574274,93.74474510966212
9591.585105421686,2009.574858395761,94.74636633076467
9582.188253012047,2012.786405993057,95.7931564908121
9572.596310240962,2015.9329800840492,96.76541790160046
9560.69579819277,2020.0820025580122,97.87996147006521
9554.908117469879,2024.305280467751,98.91658861885001
9544.698388554218,2028.4914306596022,100.09211025489034
9534.74878012048,2031.9721542115842,101.02597806757558
9524.083840361445,2036.3253791339305,102.17552756372258
9520.962394578313,2038.803654302942,103.42331950207469
9513.191295180723,2042.200840489677,104.44865441612329
9500.282816265058,2047.528668006578,105.57674866627148
9488.83751506024,2052.513064133017,106.6438648488441
9479.765813253012,2056.689932395396,107.8035773562537
9470.23890060241,2059.706559473781,109.01636336692353
9458.533478915662,2064.291832632926,110.18849733254298
9445.527454819277,2068.468700895304,111.29061944279786
9435.090120481927,2072.48777635666,112.40403378778898
9424.00248493976,2077.7691942262018,113.70715767634854
9415.158388554217,2082.549387904258,114.77653230586841
9403.030271084337,2087.64516718436,116.07965619442797
9392.235271084337,2092.026237895122,117.12531713100178
9381.797936746987,2096.119568792253,118.53007113218732
9368.824427710842,2100.8440708934777,119.62428867812685
9356.826370481927,2105.949132103052,120.82013633669234
9343.495195783133,2112.056641695597,122.03066390041494
9335.301400602411,2116.0478713685366,123.3654060462359
9323.953644578312,2121.0137036360316,124.64142857142856
9310.850075301205,2125.8031792435595,125.83388855957321
9298.429322289157,2130.50911748584,127.1381416716064
9287.08156626506,2135.7626895669655,128.36447836395968
9272.774939759036,2142.148657043669,129.5716182572614
9260.484246987951,2147.040233875389,130.97185536455245
9248.746310240964,2151.7183263292527,132.21400118553646
9236.260527108432,2157.352457518729,133.5419679905157
9223.904804216867,2162.568901881966,134.78185536455246
9211.451536144577,2168.759948839759,136.10643449911086
