Frame,Time,X (m),Y (m),Z (m)
580.0,1.93,2.86758,2.2851,1.10378
581.0,1.93333,2.86355,2.29026,1.1143399999999999
582.0,1.93667,2.8597300000000003,2.29533,1.12589
583.0,1.94,2.85624,2.30099,1.13675
584.0,1.94333,2.85184,2.30787,1.14744
585.0,1.94667,2.84806,2.3131399999999998,1.15984
586.0,1.95,2.84445,2.31818,1.17084
587.0,1.95333,2.84061,2.32425,1.1826
588.0,1.95667,2.83681,2.32987,1.19358
589.0,1.96,2.83298,2.33654,1.20531
590.0,1.96333,2.8290499999999996,2.3432,1.21681
591.0,1.96667,2.8257499999999998,2.34824,1.22782
592.0,1.97,2.82239,2.35429,1.23995
593.0,1.97333,2.81853,2.35977,1.2516500000000002
594.0,1.97667,2.81466,2.3653399999999998,1.26355
595.0,1.98,2.81166,2.37182,1.27492
596.0,1.98333,2.8076299999999996,2.37792,1.2868000000000002
597.0,1.98667,2.80338,2.38482,1.2983099999999999
598.0,1.99,2.8017399999999997,2.38912,1.3110499999999998
599.0,1.99333,2.79728,2.39475,1.32236
600.0,1.99667,2.79445,2.40199,1.33452
601.0,2.0,2.7910700000000004,2.40766,1.34471
602.0,2.00333,2.7866000000000004,2.4146,1.35758
603.0,2.00667,2.78335,2.41972,1.36883
604.0,2.01,2.7806599999999997,2.4276,1.38238
605.0,2.01333,2.77619,2.4340100000000002,1.393
606.0,2.01667,2.77296,2.4400999999999997,1.40515
607.0,2.02,2.7691199999999996,2.4456,1.4169999999999998
608.0,2.02333,2.76534,2.45301,1.42906
609.0,2.02667,2.76141,2.45851,1.44008
610.0,2.03,2.75722,2.46525,1.452
611.0,2.03333,2.75435,2.4707,1.46421
612.0,2.03667,2.75039,2.47708,1.47593
613.0,2.04,2.74729,2.48382,1.48802
614.0,2.04333,2.74379,2.4896700000000003,1.49912
615.0,2.04667,2.74056,2.49559,1.5117699999999998
616.0,2.05,2.73643,2.5027,1.52404
617.0,2.05333,2.7328300000000003,2.50835,1.5358500000000002
618.0,2.05667,2.73002,2.51548,1.54722
619.0,2.06,2.72581,2.52137,1.5593700000000001
620.0,2.06333,2.72298,2.52773,1.5712899999999999
621.0,2.06667,2.71964,2.53344,1.58284
622.0,2.07,2.71704,2.54194,1.5964599999999998
623.0,2.07333,2.71399,2.54825,1.60626
624.0,2.07667,2.7100099999999996,2.55568,1.61924
625.0,2.08,2.70734,2.5611900000000003,1.6303100000000001
626.0,2.08333,2.70507,2.5689499999999996,1.64327
627.0,2.08667,2.70037,2.57459,1.6539599999999999
628.0,2.09,2.69717,2.58168,1.6660300000000001
629.0,2.09333,2.6947500000000004,2.5883300000000005,1.67808
630.0,2.09667,2.69028,2.5955399999999997,1.69002
631.0,2.1,2.68673,2.60166,1.70201
632.0,2.10333,2.6831400000000003,2.60769,1.71375
633.0,2.10667,2.68028,2.61565,1.7262700000000002
634.0,2.11,2.6763999999999997,2.62147,1.7375
635.0,2.11333,2.67313,2.6290899999999997,1.74892
636.0,2.11667,2.6700999999999997,2.63611,1.7621600000000002
637.0,2.12,2.66709,2.6434699999999998,1.7744499999999999
638.0,2.12333,2.6642099999999997,2.6498500000000003,1.78571
639.0,2.12667,2.66063,2.65687,1.79739
640.0,2.13,2.6588,2.66384,1.80972
641.0,2.13333,2.65462,2.67132,1.8216999999999999
642.0,2.13667,2.6512000000000002,2.67798,1.83344
643.0,2.14,2.64789,2.68416,1.8459200000000002
644.0,2.14333,2.64392,2.69139,1.85839
645.0,2.14667,2.64148,2.6988499999999997,1.87001
646.0,2.15,2.63779,2.70578,1.8811600000000002
647.0,2.15333,2.63488,2.7132,1.8954
648.0,2.15667,2.63206,2.71939,1.9062200000000002
649.0,2.16,2.6275099999999996,2.72767,1.91853
650.0,2.16333,2.6252999999999997,2.7339800000000003,1.93102
651.0,2.16667,2.62252,2.74166,1.94371
652.0,2.17,2.61921,2.7497000000000003,1.9558799999999998
653.0,2.17333,2.6171100000000003,2.75609,1.96666
654.0,2.17667,2.61384,2.76497,1.9809700000000001
655.0,2.18,2.61029,2.7714299999999996,1.99181
656.0,2.18333,2.6069299999999997,2.77868,2.00405
657.0,2.18667,2.6038900000000003,2.78652,2.0173900000000002
658.0,2.19,2.60175,2.79366,2.0292
659.0,2.19333,2.59835,2.80116,2.04101
660.0,2.19667,2.5953199999999996,2.80906,2.05403
661.0,2.2,2.5924,2.81602,2.06656
662.0,2.20333,2.58912,2.82441,2.07896
663.0,2.20667,2.58567,2.8320100000000004,2.0906800000000003
664.0,2.21,2.5837,2.8388999999999998,2.10399
665.0,2.21333,2.58074,2.84686,2.11604
666.0,2.21667,2.5776799999999995,2.85353,2.12746
667.0,2.22,2.57458,2.86267,2.14136
668.0,2.22333,2.57148,2.8695299999999997,2.15288
669.0,2.22667,2.56825,2.87677,2.16562
670.0,2.23,2.5656499999999998,2.88471,2.17786
671.0,2.23333,2.56356,2.89267,2.19139
672.0,2.23667,2.56053,2.90045,2.2025200000000003
673.0,2.24,2.5572399999999997,2.9085199999999998,2.21482
674.0,2.24333,2.55473,2.91658,2.22903
675.0,2.24667,2.55198,2.9241,2.24019
676.0,2.25,2.54762,2.93182,2.25251
677.0,2.25333,2.5467400000000002,2.93912,2.26622
678.0,2.25667,2.54297,2.94751,2.27811
679.0,2.26,2.54003,2.9547000000000003,2.28967
680.0,2.26333,2.5372,2.9637000000000002,2.3035300000000003
681.0,2.26667,2.53367,2.9704099999999998,2.31642
682.0,2.27,2.53144,2.97822,2.3287999999999998
683.0,2.27333,2.5277600000000002,2.9872699999999996,2.34197
684.0,2.27667,2.52602,2.9947500000000002,2.35474
685.0,2.28,2.52256,3.0022699999999998,2.36648
686.0,2.28333,2.51882,3.0114900000000002,2.37933
687.0,2.28667,2.51678,3.01828,2.39299
688.0,2.29,2.5136000000000003,3.02656,2.4054599999999997
689.0,2.29333,2.51016,3.03382,2.41775
690.0,2.29667,2.50896,3.04245,2.43253
691.0,2.3,2.50523,3.0501400000000003,2.44366
692.0,2.30333,2.50261,3.05979,2.45629
693.0,2.30667,2.4998400000000003,3.06665,2.46929
694.0,2.31,2.49658,3.07442,2.48262
695.0,2.31333,2.49366,3.0823899999999997,2.49551
696.0,2.31667,2.4918199999999997,3.09111,2.50908
697.0,2.32,2.48897,3.0985199999999997,2.5215199999999998
698.0,2.32333,2.4857,3.10821,2.5335900000000002
699.0,2.32667,2.48278,3.1153899999999997,2.54775
700.0,2.33,2.48005,3.1225099999999997,2.5604
701.0,2.33333,2.47688,3.13135,2.57357
702.0,2.33667,2.47457,3.13957,2.58653
703.0,2.34,2.47226,3.1473,2.59996
704.0,2.34333,2.4685,3.1565,2.6126400000000003
705.0,2.34667,2.46681,3.16189,2.6261200000000002
706.0,2.35,2.4632400000000003,3.17139,2.63943
707.0,2.35333,2.46108,3.1792399999999996,2.65217
708.0,2.35667,2.45893,3.1871199999999997,2.66659
709.0,2.36,2.45574,3.19561,2.67938
710.0,2.36333,2.45368,3.20344,2.6919
