Frame,Time,X (cm),Y (cm),Z (cm)
581.0,1.93333,28.6355,22.9026,11.1434
582.0,1.93667,28.5973,22.9533,11.2589
583.0,1.94,28.562400000000004,23.0099,11.3675
584.0,1.94333,28.518400000000003,23.0787,11.4744
585.0,1.94667,28.4806,23.1314,11.5984
586.0,1.95,28.444499999999998,23.181800000000003,11.708400000000001
587.0,1.95333,28.4061,23.2425,11.826
588.0,1.95667,28.3681,23.2987,11.9358
589.0,1.96,28.3298,23.3654,12.0531
590.0,1.96333,28.290499999999998,23.432,12.168099999999999
591.0,1.96667,28.2575,23.482400000000002,12.2782
592.0,1.97,28.223899999999997,23.5429,12.3995
593.0,1.97333,28.1853,23.5977,12.5165
594.0,1.97667,28.1466,23.653399999999998,12.6355
595.0,1.98,28.1166,23.7182,12.7492
596.0,1.98333,28.076299999999996,23.7792,12.868
597.0,1.98667,28.033800000000003,23.8482,12.983099999999999
598.0,1.99,28.0174,23.8912,13.110499999999998
599.0,1.99333,27.9728,23.947499999999998,13.2236
600.0,1.99667,27.944499999999998,24.0199,13.3452
601.0,2.0,27.910700000000002,24.0766,13.4471
602.0,2.00333,27.866000000000003,24.146,13.575800000000001
603.0,2.00667,27.833499999999997,24.197200000000002,13.688300000000002
604.0,2.01,27.806599999999996,24.276,13.8238
605.0,2.01333,27.761900000000004,24.3401,13.930000000000001
606.0,2.01667,27.729599999999998,24.401,14.051499999999999
607.0,2.02,27.6912,24.456,14.169999999999998
608.0,2.02333,27.653399999999998,24.530099999999997,14.290600000000001
609.0,2.02667,27.6141,24.5851,14.4008
610.0,2.03,27.5722,24.6525,14.52
611.0,2.03333,27.5435,24.707,14.6421
612.0,2.03667,27.503899999999998,24.7708,14.7593
613.0,2.04,27.4729,24.8382,14.880199999999999
614.0,2.04333,27.437900000000003,24.896700000000003,14.991200000000001
615.0,2.04667,27.4056,24.9559,15.1177
616.0,2.05,27.364299999999997,25.027,15.2404
617.0,2.05333,27.328300000000002,25.0835,15.358500000000001
618.0,2.05667,27.3002,25.1548,15.4722
619.0,2.06,27.258100000000002,25.2137,15.593700000000002
620.0,2.06333,27.2298,25.2773,15.7129
621.0,2.06667,27.1964,25.3344,15.828399999999998
622.0,2.07,27.1704,25.4194,15.964599999999999
623.0,2.07333,27.1399,25.482499999999998,16.0626
624.0,2.07667,27.100099999999998,25.556800000000003,16.1924
